Site,Year,Age,Cohort,SampleSize,Prevalence,SPrevalence,APrevalence,ASUnknown
PWS,2007,3,2004,6,0.5,,,0.5
PWS,2007,4,2003,4,0.25,,,0.25
PWS,2007,5,2002,7,0.285714286,,,0.285714286
PWS,2007,6,2001,5,0.6,,,0.6
PWS,2007,7,2000,38,0.421052632,,,0.421052632
PWS,2008,3,2005,102,0.176470588,,,0.176470588
PWS,2008,4,2004,16,0.25,,,0.25
PWS,2008,5,2003,2,0,,,0
PWS,2008,6,2002,2,0,,,0
PWS,2008,7,2001,28,0.535714286,,,0.535714286
PWS,2009,3,2006,37,0.243243243,0.081081081,0.081081081,0.081081081
PWS,2009,4,2005,73,0.287671233,0.178082192,0.02739726,0.082191781
PWS,2009,5,2004,54,0.37037037,0.166666667,0.074074074,0.12962963
PWS,2009,6,2003,3,0.666666667,0.333333333,0.333333333,0
PWS,2009,7,2002,12,0.416666667,,,0.416666667
PWS,2010,3,2007,33,0.121212121,,,0.121212121
PWS,2010,4,2006,26,0.153846154,,,0.153846154
PWS,2010,5,2005,45,0.333333333,,,0.333333333
PWS,2010,6,2004,12,0.083333333,,,0.083333333
PWS,2010,7,2003,4,0.5,,,0.5
PWS,2011,4,2007,9,0.333333333,0.222222222,0,0.111111111
PWS,2011,5,2006,13,0.307692308,0.153846154,0.076923077,0.076923077
PWS,2011,6,2005,38,0.184210526,0.157894737,0.026315789,0
PWS,2011,7,2004,120,0.308333333,0.208333333,0.1,0
PWS,2012,3,2009,4,0.5,0,0.25,0.25
PWS,2012,4,2008,5,0.6,0.2,0.4,0
PWS,2012,5,2007,55,0.309090909,0.236363636,0.072727273,0
PWS,2012,6,2006,42,0.380952381,0.19047619,0.19047619,0
PWS,2012,7,2005,74,0.432432432,0.310810811,0.108108108,0.013513514
PWS,2013,3,2010,57,0.035087719,0.01754386,0.01754386,0
PWS,2013,4,2009,28,0.071428571,0,0.071428571,0
PWS,2013,5,2008,4,0,0,0,0
PWS,2013,6,2007,29,0.413793103,0.379310345,0.034482759,0
PWS,2013,7,2006,61,0.409836066,0.262295082,0.131147541,0.016393443
PWS,2014,4,2010,9,0.222222222,0.222222222,0,0
PWS,2014,5,2009,34,0.205882353,0.088235294,0.117647059,0
PWS,2014,6,2008,9,0.111111111,0,0.111111111,0
PWS,2014,7,2007,128,0.296875,0.140625,0.15625,0
PWS,2015,3,2012,3,0,0,0,0
PWS,2015,4,2011,2,0,0,0,0
PWS,2015,5,2010,10,0.2,0,0.2,0
PWS,2015,6,2009,16,0.25,0.125,0.125,0
PWS,2015,7,2008,29,0.310344828,0.24137931,0.034482759,0.034482759
PWS,2016,3,2013,30,0.233333333,0.133333333,0.1,0
PWS,2016,4,2012,26,0.269230769,0.076923077,0.115384615,0.076923077
PWS,2016,5,2011,13,0.230769231,0.076923077,0.153846154,0
PWS,2016,6,2010,21,0.428571429,0.142857143,0.19047619,0.095238095
PWS,2016,7,2009,84,0.404761905,0.178571429,0.178571429,0.047619048
PWS,2017,3,2014,87,0.172413793,0.103448276,0.068965517,0
PWS,2017,4,2013,28,0.142857143,0.107142857,0.035714286,0
PWS,2017,5,2012,23,0.304347826,0.173913043,0.086956522,0.043478261
PWS,2017,6,2011,2,0,0,0,0
PWS,2017,7,2010,6,0.333333333,0.166666667,0,0.166666667
PWS,2018,3,2015,31,0.161290323,0.129032258,0.032258065,0
PWS,2018,4,2014,61,0.147540984,0.098360656,0.049180328,0
PWS,2018,5,2013,43,0.069767442,0.023255814,0.046511628,0
PWS,2018,6,2012,21,0.095238095,0.047619048,0.047619048,0
PWS,2018,7,2011,7,0.285714286,0.285714286,0,0
PWS,2019,3,2016,137,0.182481752,0.138686131,0.03649635,0.00729927
PWS,2019,4,2015,14,0.357142857,0.214285714,0.142857143,0
PWS,2019,5,2014,15,0.133333333,0.066666667,0.066666667,0
PWS,2019,6,2013,2,0,0,0,0
Sitka,2007,3,2004,17,0.294117647,,,0.294117647
Sitka,2007,4,2003,22,0.090909091,,,0.090909091
Sitka,2007,5,2002,8,0.25,,,0.25
Sitka,2007,6,2001,4,0.75,,,0.75
Sitka,2007,7,2000,9,0.555555556,,,0.555555556
Sitka,2008,4,2004,2,0,,,0
Sitka,2008,5,2003,2,0,,,0
Sitka,2008,6,2002,1,0,,,0
Sitka,2008,7,2001,55,0.327272727,,,0.327272727
Sitka,2009,3,2006,41,0.024390244,0,0.024390244,0
Sitka,2009,4,2005,29,0.103448276,0.068965517,0.034482759,0
Sitka,2009,5,2004,18,0.111111111,0.055555556,0.055555556,0
Sitka,2009,6,2003,6,0.5,0.333333333,0.166666667,0
Sitka,2009,7,2002,81,0.432098765,0.24691358,0.185185185,0
Sitka,2010,3,2007,10,0,0,0,0
Sitka,2010,4,2006,39,0.179487179,0.051282051,0.128205128,0
Sitka,2010,5,2005,35,0.171428571,0.085714286,0.057142857,0.028571429
Sitka,2010,6,2004,21,0.238095238,0.142857143,0.095238095,0
Sitka,2010,7,2003,74,0.391891892,0.216216216,0.175675676,0
Sitka,2011,3,2008,5,0.2,0,0,0.2
Sitka,2011,4,2007,31,0.064516129,0.064516129,0,0
Sitka,2011,5,2006,18,0.222222222,0.055555556,0,0.166666667
Sitka,2011,6,2005,25,0.16,0.04,0.04,0.08
Sitka,2011,7,2004,45,0.288888889,0.044444444,0.088888889,0.155555556
Sitka,2012,3,2009,8,0,0,0,0
Sitka,2012,4,2008,29,0.034482759,0,0,0.034482759
Sitka,2012,5,2007,32,0.1875,0,0,0.1875
Sitka,2012,6,2006,28,0.25,0,0,0.25
Sitka,2012,7,2005,83,0.277108434,0,0,0.277108434
Sitka,2013,3,2010,13,0.153846154,0.076923077,0.076923077,0
