Site,Year,RecruitmentMillions,MatureMillions
Sitka,2006,191.9193994,571.2551
Sitka,2007,230.448553,551.3408
Sitka,2008,307.0452623,666.432
Sitka,2009,316.8450643,749.0157
Sitka,2010,264.4220515,755.7612
Sitka,2011,178.2309438,663.7174
Sitka,2012,80.41448336,492.8676
Sitka,2013,97.81258087,410.0366
Sitka,2014,113.7714244,402.3529
Sitka,2015,298.6166605,502.1185
Sitka,2016,325.3755261,619.93328
Sitka,2017,166.6027814,504.6895
Sitka,2018,204.5976593,472.53427
Sitka,2019,1026.584186,1315.51964
