Bin	nl	Year	Age1	Age2	Age3	Age4	Age5	Age6	Age7_plus	Age3_minus
55	1	2007	1	0	0	0	0	0	0	1
65	12	2007	1	0	0	0	0	0	0	1
75	18	2007	1	0	0	0	0	0	0	1
85	171	2007	0.994152047	0.005847953	0	0	0	0	0	1
95	375	2007	0.976	0.024	0	0	0	0	0	1
105	64	2007	0.984375	0.015625	0	0	0	0	0	1
115	22	2007	0.181818182	0.818181818	0	0	0	0	0	1
125	60	2007	0.016666667	0.95	0.033333333	0	0	0	0	1
135	129	2007	0.031007752	0.945736434	0.015503876	0	0	0	0.007751938	0.992248062
145	221	2007	0.009049774	0.92760181	0.063348416	0	0	0	0	1
155	221	2007	0	0.755656109	0.244343891	0	0	0	0	1
165	145	2007	0	0.24137931	0.751724138	0.006896552	0	0	0	0.993103448
175	275	2007	0	0.007272727	0.927272727	0.058181818	0.003636364	0	0.003636364	0.934545454
185	264	2007	0	0	0.837121212	0.151515152	0.007575758	0.003787879	0	0.837121212
195	206	2007	0	0	0.490291262	0.359223301	0.116504854	0.024271845	0.009708738	0.490291262
205	267	2007	0	0	0.131086142	0.460674157	0.292134831	0.071161049	0.04494382	0.131086142
215	276	2007	0	0	0.014492754	0.257246377	0.402173913	0.163043478	0.163043478	0.014492754
225	304	2007	0	0	0	0.115131579	0.230263158	0.154605263	0.5	0
235	300	2007	0	0	0	0.003333333	0.03	0.06	0.906666667	0
245	255	2007	0	0	0	0	0.003921569	0	0.996078431	0
255	65	2007	0	0	0	0	0	0	1	0
265	13	2007	0	0	0	0	0	0	1	0
275	1	2007	0	0	0	0	0	0	1	0
75	17	2008	1	0	0	0	0	0	0	1
85	47	2008	0.978723404	0.021276596	0	0	0	0	0	1
95	22	2008	1	0	0	0	0	0	0	1
105	14	2008	0.642857143	0.357142857	0	0	0	0	0	1
115	49	2008	0.183673469	0.816326531	0	0	0	0	0	1
125	120	2008	0.025	0.941666667	0.033333333	0	0	0	0	1
135	208	2008	0	0.942307692	0.057692308	0	0	0	0	1
145	188	2008	0.005319149	0.856382979	0.132978723	0.005319149	0	0	0	0.994680851
155	87	2008	0	0.655172414	0.333333333	0.011494253	0	0	0	0.988505747
165	126	2008	0	0.023809524	0.904761905	0.071428571	0	0	0	0.928571429
175	321	2008	0	0.009345794	0.875389408	0.112149533	0	0	0.003115265	0.884735202
185	377	2008	0	0	0.668435013	0.326259947	0.00530504	0	0	0.668435013
195	458	2008	0	0	0.347161572	0.626637555	0.026200873	0	0	0.347161572
205	778	2008	0	0	0.070694087	0.86503856	0.042416452	0.015424165	0.006426735	0.070694087
215	437	2008	0	0	0.006864989	0.736842105	0.171624714	0.070938215	0.013729977	0.006864989
225	293	2008	0	0	0.003412969	0.262798635	0.307167235	0.218430034	0.208191126	0.003412969
235	356	2008	0	0	0	0.025280899	0.078651685	0.165730337	0.730337079	0
245	377	2008	0	0	0	0.00265252	0.00265252	0.039787798	0.954907162	0
255	336	2008	0	0	0	0	0.005952381	0	0.994047619	0
265	77	2008	0	0	0	0	0	0	1	0
275	7	2008	0	0	0	0	0	0	1	0
105	2	2009	0	1	0	0	0	0	0	1
115	12	2009	0	0.916666667	0.083333333	0	0	0	0	1
125	130	2009	0.015384615	0.907692308	0.076923077	0	0	0	0	1
135	415	2009	0.019277108	0.86746988	0.103614458	0.009638554	0	0	0	0.990361446
145	435	2009	0.011494253	0.705747126	0.259770115	0.022988506	0	0	0	0.977011494
155	326	2009	0	0.217791411	0.671779141	0.107361963	0.003067485	0	0	0.889570552
165	290	2009	0	0.017241379	0.679310345	0.286206897	0.017241379	0	0	0.696551724
175	410	2009	0	0.004878049	0.341463415	0.580487805	0.068292683	0.004878049	0	0.346341464
185	446	2009	0.002242152	0	0.183856502	0.710762332	0.098654709	0.004484305	0	0.186098654
195	526	2009	0	0	0.053231939	0.707224335	0.235741445	0.001901141	0.001901141	0.053231939
205	635	2009	0	0.001574803	0.012598425	0.48976378	0.462992126	0.028346457	0.004724409	0.014173228
215	555	2009	0	0	0.001801802	0.282882883	0.630630631	0.063063063	0.021621622	0.001801802
225	315	2009	0	0	0	0.149206349	0.634920635	0.114285714	0.101587302	0
235	154	2009	0	0	0	0.051948052	0.376623377	0.162337662	0.409090909	0
245	129	2009	0	0	0	0	0.069767442	0.054263566	0.875968992	0
255	67	2009	0	0	0	0	0.044776119	0.044776119	0.910447761	0
265	12	2009	0	0	0	0	0	0.083333333	0.916666667	0
275	2	2009	0	0	0	0	0	0	1	0
75	1	2010	0	1	0	0	0	0	0	1
85	0	2010	0	1	0	0	0	0	0	1
95	0	2010	0	1	0	0	0	0	0	1
105	1	2010	0	1	0	0	0	0	0	1
115	2	2010	0	0	0.5	0.5	0	0	0	0.5
125	7	2010	0	0.714285714	0.285714286	0	0	0	0	1
135	81	2010	0	0.333333333	0.62962963	0.024691358	0.012345679	0	0	0.962962963
145	196	2010	0	0.102040816	0.816326531	0.071428571	0.005102041	0.005102041	0	0.918367347
155	305	2010	0	0.055737705	0.809836066	0.108196721	0.026229508	0	0	0.865573771
165	439	2010	0	0.013667426	0.758542141	0.16856492	0.050113895	0.009111617	0	0.772209567
175	570	2010	0	0.005263158	0.654385965	0.201754386	0.129824561	0.007017544	0.001754386	0.659649123
185	530	2010	0	0	0.383018868	0.296226415	0.290566038	0.024528302	0.005660377	0.383018868
195	537	2010	0	0	0.141527002	0.301675978	0.467411546	0.08566108	0.003724395	0.141527002
205	720	2010	0	0	0.044444444	0.144444444	0.594444444	0.208333333	0.008333333	0.044444444
215	615	2010	0	0	0.019512195	0.048780488	0.536585366	0.354471545	0.040650407	0.019512195
225	513	2010	0	0	0.009746589	0.025341131	0.393762183	0.495126706	0.076023392	0.009746589
235	336	2010	0	0	0.00297619	0.017857143	0.178571429	0.532738095	0.267857143	0.00297619
245	118	2010	0	0	0	0	0.076271186	0.237288136	0.686440678	0
255	57	2010	0	0	0	0	0	0.122807018	0.877192982	0
265	23	2010	0	0	0	0	0	0	1	0
135	1	2011	0	1	0	0	0	0	0	1
145	4	2011	0	0.5	0.25	0	0	0	0.25	0.75
155	25	2011	0	0	0.4	0.56	0.04	0	0	0.4
165	69	2011	0	0	0.130434783	0.797101449	0.057971014	0.014492754	0	0.130434783
175	139	2011	0	0	0.086330935	0.798561151	0.071942446	0.035971223	0.007194245	0.086330935
185	199	2011	0	0	0.040201005	0.738693467	0.145728643	0.075376884	0	0.040201005
195	293	2011	0	0	0.017064846	0.552901024	0.242320819	0.153583618	0.034129693	0.017064846
205	387	2011	0	0	0.007751938	0.338501292	0.271317829	0.284237726	0.098191214	0.007751938
215	488	2011	0	0	0	0.057377049	0.198770492	0.469262295	0.274590164	0
225	671	2011	0	0	0	0.011922504	0.089418778	0.475409836	0.423248882	0
235	513	2011	0	0	0	0.009746589	0.037037037	0.366471735	0.586744639	0
245	278	2011	0	0	0	0	0.010791367	0.248201439	0.741007194	0
255	107	2011	0	0	0	0	0.009345794	0.065420561	0.925233645	0
265	36	2011	0	0	0	0	0	0.055555556	0.944444444	0
275	11	2011	0	0	0	0	0	0	1	0
115	1	2012	0	0	1	0	0	0	0	1
125	0	2012	0	0	1	0	0	0	0	1
135	3	2012	0	0.666666667	0.333333333	0	0	0	0	1
145	3	2012	0	0.666666667	0.333333333	0	0	0	0	1
155	54	2012	0	0.12962963	0.777777778	0.037037037	0.037037037	0.018518519	0	0.907407408
165	287	2012	0	0.003484321	0.87456446	0.073170732	0.038327526	0.003484321	0.006968641	0.878048781
175	450	2012	0	0.006666667	0.806666667	0.097777778	0.066666667	0.008888889	0.013333333	0.813333334
