Bin	nl	Year	Age2	Age3	Age4	Age5	Age6	Age7_plus	Age3_minus
175	4	2007	0	0.75	0.25	0	0	0	0.75
185	5	2007	0	0.8	0.2	0	0	0	0.8
195	17	2007	0	0.529411765	0.352941176	0.117647059	0	0	0.529411765
205	43	2007	0	0.418604651	0.511627907	0.069767442	0	0	0.418604651
215	59	2007	0	0.152542373	0.610169492	0.152542373	0.050847458	0.033898305	0.152542373
225	68	2007	0	0.029411765	0.367647059	0.323529412	0.117647059	0.161764706	0.029411765
235	83	2007	0	0.012048193	0.084337349	0.21686747	0.180722892	0.506024096	0.012048193
245	102	2007	0	0	0.019607843	0.088235294	0.078431373	0.81372549	0
255	50	2007	0	0	0	0	0.04	0.96	0
265	19	2007	0	0	0	0	0	1	0
275	0	2007	0	0	0	0	0	1	0
285	1	2007	0	0	0	0	0	1	0
155	3	2008	0.333333333	0.333333333	0	0	0.333333333	0	0.666666666
165	1	2008	0	1	0	0	0	0	1
175	14	2008	0	0.928571429	0.071428571	0	0	0	0.928571429
185	13	2008	0	0.615384615	0.384615385	0	0	0	0.615384615
195	30	2008	0	0.533333333	0.4	0.066666667	0	0	0.533333333
205	30	2008	0	0.466666667	0.533333333	0	0	0	0.466666667
215	35	2008	0	0.342857143	0.542857143	0.085714286	0.028571429	0	0.342857143
225	55	2008	0	0.018181818	0.545454545	0.272727273	0.090909091	0.072727273	0.018181818
235	59	2008	0	0.016949153	0.101694915	0.322033898	0.305084746	0.254237288	0.016949153
245	56	2008	0	0	0.035714286	0.160714286	0.196428571	0.607142857	0
255	57	2008	0	0	0	0.01754386	0.122807018	0.859649123	0
265	17	2008	0	0	0	0	0	1	0
275	1	2008	0	0	0	0	0	1	0
285	1	2008	0	0	0	0	0	1	0
155	2	2009	0	1	0	0	0	0	1
165	5	2009	0	0.8	0.2	0	0	0	0.8
175	15	2009	0	0.733333333	0.266666667	0	0	0	0.733333333
185	26	2009	0	0.538461538	0.423076923	0.038461538	0	0	0.538461538
195	39	2009	0	0.153846154	0.666666667	0.153846154	0.025641026	0	0.153846154
205	56	2009	0	0.035714286	0.571428571	0.303571429	0.071428571	0.017857143	0.035714286
215	65	2009	0	0	0.353846154	0.476923077	0.092307692	0.076923077	0
225	71	2009	0	0	0.253521127	0.436619718	0.197183099	0.112676056	0
235	65	2009	0	0	0.061538462	0.369230769	0.215384615	0.353846154	0
245	67	2009	0	0	0.014925373	0.104477612	0.194029851	0.686567164	0
255	41	2009	0	0	0	0.048780488	0.048780488	0.902439024	0
265	16	2009	0	0	0	0	0	1	0
275	5	2009	0	0	0	0	0	1	0
165	1	2010	0	1	0	0	0	0	1
175	19	2010	0	0.789473684	0.157894737	0.052631579	0	0	0.789473684
185	34	2010	0	0.5	0.470588235	0.029411765	0	0	0.5
195	39	2010	0	0.230769231	0.461538462	0.256410256	0.051282051	0	0.230769231
205	81	2010	0	0.024691358	0.567901235	0.296296296	0.074074074	0.037037037	0.024691358
215	71	2010	0	0	0.211267606	0.492957746	0.225352113	0.070422535	0
225	100	2010	0	0	0.02	0.65	0.24	0.09	0
235	68	2010	0	0	0.029411765	0.382352941	0.426470588	0.161764706	0
245	55	2010	0	0	0.018181818	0.072727273	0.309090909	0.6	0
255	27	2010	0	0	0	0.037037037	0.074074074	0.888888889	0
265	7	2010	0	0	0.142857143	0	0	0.857142857	0
275	1	2010	0	0	0	0	0	1	0
105	0	2011	1	0	0	0	0	0	1
115	0	2011	1	0	0	0	0	0	1
125	0	2011	1	0	0	0	0	0	1
135	0	2011	1	0	0	0	0	0	1
145	0	2011	1	0	0	0	0	0	1
155	0	2011	1	0	0	0	0	0	1
165	2	2011	0	0.5	0.5	0	0	0	0.5
175	10	2011	0	0.8	0.1	0.1	0	0	0.8
185	21	2011	0	0.523809524	0.238095238	0.238095238	0	0	0.523809524
195	35	2011	0	0.342857143	0.514285714	0.142857143	0	0	0.342857143
205	88	2011	0	0.034090909	0.579545455	0.340909091	0.045454545	0	0.034090909
215	93	2011	0	0	0.440860215	0.290322581	0.193548387	0.075268817	0
225	116	2011	0	0	0.163793103	0.318965517	0.310344828	0.206896552	0
235	86	2011	0	0	0.023255814	0.174418605	0.441860465	0.360465116	0
245	54	2011	0	0	0.018518519	0.037037037	0.481481481	0.462962963	0
255	20	2011	0	0	0	0	0.25	0.75	0
265	10	2011	0	0	0	0	0	1	0
275	2	2011	0	0	0	0	0	1	0
145	0	2012	1	0	0	0	0	0	1
